A[0]=32, B[0]=32,C[0]=64
A[75]=40, B[75]=4,C[75]=44
A[76]=95, B[76]=100,C[76]=195
A[77]=0, B[77]=57,C[77]=57
A[78]=82, B[78]=31,C[78]=113
A[79]=0, B[79]=1,C[79]=1
A[80]=56, B[80]=67,C[80]=123
A[81]=30, B[81]=100,C[81]=130
A[82]=64, B[82]=72,C[82]=136
A[83]=66, B[83]=63,C[83]=129
A[84]=18, B[84]=81,C[84]=99
A[85]=19, B[85]=44,C[85]=63
A[86]=2, B[86]=63,C[86]=65
A[87]=81, B[87]=78,C[87]=159
A[88]=91, B[88]=64,C[88]=155
A[89]=91, B[89]=2,C[89]=93
A[90]=70, B[90]=97,C[90]=167
A[91]=73, B[91]=64,C[91]=137
A[92]=97, B[92]=39,C[92]=136
A[93]=21, B[93]=78,C[93]=99
A[94]=70, B[94]=21,C[94]=91
A[95]=46, B[95]=25,C[95]=71
A[96]=54, B[96]=76,C[96]=130
A[97]=92, B[97]=84,C[97]=176
A[98]=47, B[98]=57,C[98]=104
A[99]=46, B[99]=31,C[99]=77
A[100]=38, B[100]=31,C[100]=69
A[101]=75, B[101]=40,C[101]=115
A[102]=61, B[102]=21,C[102]=82
A[103]=84, B[103]=51,C[103]=135
A[104]=86, B[104]=41,C[104]=127
A[105]=19, B[105]=21,C[105]=40
A[106]=37, B[106]=58,C[106]=95
A[107]=86, B[107]=100,C[107]=186
A[108]=97, B[108]=73,C[108]=170
A[109]=44, B[109]=67,C[109]=111
A[110]=60, B[110]=90,C[110]=150
A[111]=58, B[111]=13,C[111]=71
A[112]=31, B[112]=49,C[112]=80
A[113]=63, B[113]=44,C[113]=107
A[114]=73, B[114]=76,C[114]=149
A[115]=76, B[115]=77,C[115]=153
A[116]=73, B[116]=16,C[116]=89
A[117]=83, B[117]=100,C[117]=183
A[118]=4, B[118]=67,C[118]=71
A[119]=51, B[119]=56,C[119]=107
A[120]=7, B[120]=36,C[120]=43
A[121]=77, B[121]=10,C[121]=87
A[122]=95, B[122]=28,C[122]=123
A[123]=10, B[123]=57,C[123]=67
A[124]=0, B[124]=54,C[124]=54
A[125]=23, B[125]=60,C[125]=83
A[126]=9, B[126]=48,C[126]=57
A[127]=39, B[127]=40,C[127]=79
A[128]=97, B[128]=69,C[128]=166
A[129]=84, B[129]=35,C[129]=119
A[130]=44, B[130]=25,C[130]=69
A[131]=11, B[131]=83,C[131]=94
A[132]=8, B[132]=61,C[132]=69
A[133]=83, B[133]=12,C[133]=95
A[134]=27, B[134]=100,C[134]=127
A[135]=34, B[135]=0,C[135]=34
A[136]=35, B[136]=10,C[136]=45
A[137]=10, B[137]=96,C[137]=106
A[138]=39, B[138]=87,C[138]=126
A[139]=53, B[139]=5,C[139]=58
A[140]=40, B[140]=42,C[140]=82
A[141]=66, B[141]=15,C[141]=81
A[142]=90, B[142]=71,C[142]=161
A[143]=55, B[143]=87,C[143]=142
A[144]=39, B[144]=5,C[144]=44
A[145]=88, B[145]=49,C[145]=137
A[146]=97, B[146]=100,C[146]=197
A[147]=32, B[147]=4,C[147]=36
A[148]=60, B[148]=81,C[148]=141
A[149]=83, B[149]=53,C[149]=136
A[150]=80, B[150]=16,C[150]=96
A[151]=53, B[151]=14,C[151]=67
A[152]=94, B[152]=29,C[152]=123
A[153]=77, B[153]=99,C[153]=176
A[154]=16, B[154]=29,C[154]=45
A[155]=3, B[155]=22,C[155]=25
A[156]=71, B[156]=35,C[156]=106
A[157]=4, B[157]=61,C[157]=65
A[158]=6, B[158]=25,C[158]=31
A[159]=13, B[159]=11,C[159]=24
A[160]=30, B[160]=0,C[160]=30
A[161]=27, B[161]=94,C[161]=121
A[162]=66, B[162]=25,C[162]=91
A[163]=64, B[163]=92,C[163]=156
A[164]=5, B[164]=47,C[164]=52
A[165]=44, B[165]=85,C[165]=129
A[166]=29, B[166]=63,C[166]=92
A[167]=65, B[167]=89,C[167]=154
A[168]=59, B[168]=41,C[168]=100
A[169]=87, B[169]=41,C[169]=128
A[170]=36, B[170]=57,C[170]=93
A[171]=29, B[171]=7,C[171]=36
A[172]=92, B[172]=33,C[172]=125
A[173]=34, B[173]=64,C[173]=98
A[174]=59, B[174]=47,C[174]=106
A[175]=76, B[175]=55,C[175]=131
A[176]=13, B[176]=2,C[176]=15
A[177]=48, B[177]=46,C[177]=94
A[178]=27, B[178]=12,C[178]=39
A[179]=37, B[179]=99,C[179]=136
A[180]=25, B[180]=48,C[180]=73
A[181]=83, B[181]=20,C[181]=103
A[182]=77, B[182]=13,C[182]=90
A[183]=9, B[183]=35,C[183]=44
A[184]=55, B[184]=62,C[184]=117
A[185]=76, B[185]=57,C[185]=133
A[186]=18, B[186]=72,C[186]=90
A[187]=64, B[187]=10,C[187]=74
A[188]=4, B[188]=64,C[188]=68
A[189]=74, B[189]=63,C[189]=137
A[190]=77, B[190]=15,C[190]=92
A[191]=18, B[191]=91,C[191]=109
A[192]=84, B[192]=32,C[192]=116
A[193]=36, B[193]=77,C[193]=113
A[194]=10, B[194]=39,C[194]=49
A[195]=75, B[195]=35,C[195]=110
A[196]=87, B[196]=23,C[196]=110
A[197]=22, B[197]=30,C[197]=52
A[198]=37, B[198]=31,C[198]=68
A[199]=65, B[199]=58,C[199]=123
A[200]=59, B[200]=7,C[200]=66
A[201]=14, B[201]=78,C[201]=92
A[202]=79, B[202]=45,C[202]=124
A[203]=54, B[203]=83,C[203]=137
A[204]=8, B[204]=94,C[204]=102
A[205]=12, B[205]=86,C[205]=98
A[206]=9, B[206]=97,C[206]=106
A[207]=42, B[207]=93,C[207]=135
A[208]=95, B[208]=44,C[208]=139
A[209]=70, B[209]=5,C[209]=75
A[210]=83, B[210]=10,C[210]=93
A[211]=40, B[211]=36,C[211]=76
A[212]=34, B[212]=62,C[212]=96
A[213]=66, B[213]=71,C[213]=137
A[214]=59, B[214]=97,C[214]=156
A[215]=95, B[215]=18,C[215]=113
A[216]=3, B[216]=8,C[216]=11
A[217]=62, B[217]=48,C[217]=110
A[218]=19, B[218]=15,C[218]=34
A[219]=98, B[219]=28,C[219]=126
A[220]=8, B[220]=9,C[220]=17
A[221]=80, B[221]=84,C[221]=164
A[222]=72, B[222]=21,C[222]=93
A[223]=43, B[223]=66,C[223]=109
A[224]=65, B[224]=79,C[224]=144
A[225]=71, B[225]=13,C[225]=84
A[226]=89, B[226]=78,C[226]=167
A[227]=49, B[227]=22,C[227]=71
A[228]=5, B[228]=14,C[228]=19
A[229]=59, B[229]=65,C[229]=124
A[230]=11, B[230]=53,C[230]=64
A[231]=49, B[231]=81,C[231]=130
A[232]=28, B[232]=77,C[232]=105
A[233]=29, B[233]=47,C[233]=76
A[234]=92, B[234]=26,C[234]=118
A[235]=41, B[235]=66,C[235]=107
A[236]=1, B[236]=20,C[236]=21
A[237]=50, B[237]=73,C[237]=123
A[238]=7, B[238]=59,C[238]=66
A[239]=4, B[239]=72,C[239]=76
A[240]=37, B[240]=76,C[240]=113
A[241]=86, B[241]=25,C[241]=111
A[242]=19, B[242]=0,C[242]=19
A[243]=14, B[243]=24,C[243]=38
A[244]=15, B[244]=73,C[244]=88
A[245]=55, B[245]=93,C[245]=148
A[246]=93, B[246]=3,C[246]=96
A[247]=73, B[247]=87,C[247]=160
A[248]=80, B[248]=68,C[248]=148
A[249]=100, B[249]=37,C[249]=137
A[250]=94, B[250]=41,C[250]=135
A[251]=3, B[251]=61,C[251]=64
A[252]=27, B[252]=19,C[252]=46
A[253]=33, B[253]=35,C[253]=68
A[254]=78, B[254]=38,C[254]=116
A[255]=73, B[255]=14,C[255]=87
A[256]=80, B[256]=58,C[256]=138
A[257]=5, B[257]=99,C[257]=104
A[258]=59, B[258]=19,C[258]=78
A[259]=22, B[259]=40,C[259]=62
A[260]=59, B[260]=78,C[260]=137
A[261]=32, B[261]=17,C[261]=49
A[262]=47, B[262]=71,C[262]=118
A[263]=3, B[263]=94,C[263]=97
A[264]=39, B[264]=2,C[264]=41
A[265]=97, B[265]=99,C[265]=196
A[266]=9, B[266]=66,C[266]=75
A[267]=60, B[267]=37,C[267]=97
A[268]=85, B[268]=59,C[268]=144
A[269]=38, B[269]=28,C[269]=66
A[270]=63, B[270]=10,C[270]=73
A[271]=8, B[271]=8,C[271]=16
A[272]=35, B[272]=81,C[272]=116
A[273]=6, B[273]=60,C[273]=66
A[274]=100, B[274]=96,C[274]=196
A[275]=66, B[275]=24,C[275]=90
A[276]=39, B[276]=64,C[276]=103
A[277]=41, B[277]=52,C[277]=93
A[278]=34, B[278]=10,C[278]=44
A[279]=11, B[279]=39,C[279]=50
A[280]=80, B[280]=8,C[280]=88
A[281]=4, B[281]=89,C[281]=93
A[282]=74, B[282]=64,C[282]=138
A[283]=92, B[283]=25,C[283]=117
A[284]=89, B[284]=29,C[284]=118
A[285]=19, B[285]=18,C[285]=37
A[286]=6, B[286]=28,C[286]=34
A[287]=26, B[287]=7,C[287]=33
A[288]=8, B[288]=33,C[288]=41
A[289]=67, B[289]=74,C[289]=141
A[290]=95, B[290]=32,C[290]=127
A[291]=99, B[291]=33,C[291]=132
A[292]=96, B[292]=5,C[292]=101
A[293]=51, B[293]=96,C[293]=147
A[294]=83, B[294]=63,C[294]=146
A[295]=35, B[295]=62,C[295]=97
A[296]=71, B[296]=39,C[296]=110
A[297]=16, B[297]=10,C[297]=26
A[298]=69, B[298]=8,C[298]=77
A[299]=35, B[299]=23,C[299]=58
A[300]=3, B[300]=55,C[300]=58
A[301]=41, B[301]=76,C[301]=117
A[302]=49, B[302]=68,C[302]=117
A[303]=83, B[303]=23,C[303]=106
A[304]=67, B[304]=15,C[304]=82
A[305]=97, B[305]=61,C[305]=158
A[306]=13, B[306]=61,C[306]=74
A[307]=60, B[307]=75,C[307]=135
A[308]=33, B[308]=77,C[308]=110
A[309]=71, B[309]=15,C[309]=86
A[310]=39, B[310]=72,C[310]=111
A[311]=43, B[311]=76,C[311]=119
A[312]=77, B[312]=59,C[312]=136
A[313]=53, B[313]=11,C[313]=64
A[314]=33, B[314]=88,C[314]=121
A[315]=34, B[315]=37,C[315]=71
A[316]=8, B[316]=76,C[316]=84
A[317]=79, B[317]=23,C[317]=102
A[318]=9, B[318]=62,C[318]=71
A[319]=46, B[319]=76,C[319]=122
A[320]=43, B[320]=9,C[320]=52
A[321]=2, B[321]=57,C[321]=59
A[322]=70, B[322]=28,C[322]=98
A[323]=31, B[323]=69,C[323]=100
A[324]=4, B[324]=68,C[324]=72
A[325]=84, B[325]=10,C[325]=94
A[326]=39, B[326]=26,C[326]=65
A[327]=52, B[327]=82,C[327]=134
A[328]=52, B[328]=4,C[328]=56
A[329]=93, B[329]=85,C[329]=178
A[330]=59, B[330]=94,C[330]=153
A[331]=21, B[331]=33,C[331]=54
A[332]=35, B[332]=67,C[332]=102
A[333]=57, B[333]=44,C[333]=101
A[334]=28, B[334]=69,C[334]=97
A[335]=86, B[335]=37,C[335]=123
A[336]=78, B[336]=54,C[336]=132
A[337]=94, B[337]=14,C[337]=108
A[338]=48, B[338]=25,C[338]=73
A[339]=83, B[339]=18,C[339]=101
A[340]=59, B[340]=33,C[340]=92
A[341]=28, B[341]=99,C[341]=127
A[342]=25, B[342]=81,C[342]=106
A[343]=46, B[343]=77,C[343]=123
A[344]=51, B[344]=39,C[344]=90
A[345]=62, B[345]=9,C[345]=71
A[346]=32, B[346]=49,C[346]=81
A[347]=43, B[347]=33,C[347]=76
A[348]=15, B[348]=100,C[348]=115
A[349]=77, B[349]=9,C[349]=86
A[350]=68, B[350]=28,C[350]=96
A[351]=47, B[351]=12,C[351]=59
A[352]=82, B[352]=6,C[352]=88
A[353]=26, B[353]=96,C[353]=122
A[354]=98, B[354]=75,C[354]=173
A[355]=13, B[355]=57,C[355]=70
A[356]=7, B[356]=8,C[356]=15
A[357]=55, B[357]=33,C[357]=88
A[358]=55, B[358]=0,C[358]=55
A[359]=76, B[359]=5,C[359]=81
A[360]=5, B[360]=3,C[360]=8
A[361]=15, B[361]=3,C[361]=18
A[362]=53, B[362]=58,C[362]=111
A[363]=36, B[363]=34,C[363]=70
A[364]=23, B[364]=79,C[364]=102
A[365]=10, B[365]=57,C[365]=67
A[366]=6, B[366]=23,C[366]=29
A[367]=69, B[367]=54,C[367]=123
A[368]=29, B[368]=61,C[368]=90
A[369]=49, B[369]=27,C[369]=76
A[370]=36, B[370]=63,C[370]=99
A[371]=84, B[371]=9,C[371]=93
A[372]=71, B[372]=4,C[372]=75
A[373]=8, B[373]=25,C[373]=33
A[374]=71, B[374]=85,C[374]=156
A[375]=97, B[375]=77,C[375]=174
A[376]=88, B[376]=11,C[376]=99
A[377]=46, B[377]=6,C[377]=52
A[378]=35, B[378]=83,C[378]=118
A[379]=7, B[379]=24,C[379]=31
A[380]=27, B[380]=17,C[380]=44
A[381]=82, B[381]=34,C[381]=116
A[382]=40, B[382]=16,C[382]=56
A[383]=88, B[383]=69,C[383]=157
A[384]=44, B[384]=3,C[384]=47
A[385]=62, B[385]=46,C[385]=108
A[386]=32, B[386]=45,C[386]=77
A[387]=55, B[387]=2,C[387]=57
A[388]=49, B[388]=64,C[388]=113
A[389]=94, B[389]=87,C[389]=181
A[390]=14, B[390]=90,C[390]=104
A[391]=63, B[391]=68,C[391]=131
A[392]=68, B[392]=75,C[392]=143
A[393]=75, B[393]=2,C[393]=77
A[394]=23, B[394]=82,C[394]=105
A[395]=27, B[395]=51,C[395]=78
A[396]=65, B[396]=75,C[396]=140
A[397]=85, B[397]=71,C[397]=156
A[398]=57, B[398]=38,C[398]=95
A[399]=39, B[399]=0,C[399]=39
A[400]=7, B[400]=1,C[400]=8
A[401]=46, B[401]=39,C[401]=85
A[402]=12, B[402]=68,C[402]=80
A[403]=41, B[403]=28,C[403]=69
A[404]=31, B[404]=0,C[404]=31
A[405]=14, B[405]=45,C[405]=59
A[406]=91, B[406]=43,C[406]=134
A[407]=12, B[407]=58,C[407]=70
A[408]=17, B[408]=53,C[408]=70
A[409]=26, B[409]=41,C[409]=67
A[410]=0, B[410]=19,C[410]=19
A[411]=92, B[411]=31,C[411]=123
A[412]=60, B[412]=42,C[412]=102
A[413]=1, B[413]=17,C[413]=18
A[414]=46, B[414]=41,C[414]=87
A[415]=84, B[415]=54,C[415]=138
A[416]=8, B[416]=97,C[416]=105
A[417]=93, B[417]=20,C[417]=113
A[418]=64, B[418]=0,C[418]=64
A[419]=14, B[419]=61,C[419]=75
A[420]=0, B[420]=28,C[420]=28
A[421]=72, B[421]=57,C[421]=129
A[422]=71, B[422]=50,C[422]=121
A[423]=81, B[423]=89,C[423]=170
A[424]=70, B[424]=7,C[424]=77
A[425]=96, B[425]=70,C[425]=166
A[426]=26, B[426]=87,C[426]=113
A[427]=1, B[427]=87,C[427]=88
A[428]=95, B[428]=69,C[428]=164
A[429]=70, B[429]=40,C[429]=110
A[430]=9, B[430]=19,C[430]=28
A[431]=94, B[431]=84,C[431]=178
A[432]=15, B[432]=87,C[432]=102
A[433]=71, B[433]=45,C[433]=116
A[434]=87, B[434]=85,C[434]=172
A[435]=5, B[435]=53,C[435]=58
A[436]=13, B[436]=43,C[436]=56
A[437]=10, B[437]=50,C[437]=60
A[438]=94, B[438]=91,C[438]=185
A[439]=38, B[439]=63,C[439]=101
A[440]=98, B[440]=33,C[440]=131
A[441]=99, B[441]=91,C[441]=190
A[442]=86, B[442]=66,C[442]=152
A[443]=43, B[443]=80,C[443]=123
A[444]=35, B[444]=79,C[444]=114
A[445]=20, B[445]=10,C[445]=30
A[446]=98, B[446]=80,C[446]=178
A[447]=61, B[447]=13,C[447]=74
A[448]=66, B[448]=31,C[448]=97
A[449]=24, B[449]=18,C[449]=42
A[450]=82, B[450]=97,C[450]=179
A[451]=72, B[451]=61,C[451]=133
A[452]=39, B[452]=48,C[452]=87
A[453]=11, B[453]=99,C[453]=110
A[454]=38, B[454]=49,C[454]=87
A[455]=27, B[455]=2,C[455]=29
A[456]=49, B[456]=26,C[456]=75
A[457]=59, B[457]=0,C[457]=59
A[458]=58, B[458]=1,C[458]=59
A[459]=81, B[459]=59,C[459]=140
A[460]=80, B[460]=67,C[460]=147
A[461]=70, B[461]=77,C[461]=147
A[462]=46, B[462]=97,C[462]=143
A[463]=56, B[463]=79,C[463]=135
A[464]=27, B[464]=81,C[464]=108
A[465]=63, B[465]=75,C[465]=138
A[466]=77, B[466]=0,C[466]=77
A[467]=36, B[467]=82,C[467]=118
A[468]=48, B[468]=47,C[468]=95
A[469]=81, B[469]=53,C[469]=134
A[470]=62, B[470]=7,C[470]=69
A[471]=55, B[471]=77,C[471]=132
A[472]=100, B[472]=13,C[472]=113
A[473]=78, B[473]=24,C[473]=102
A[474]=81, B[474]=24,C[474]=105
A[475]=83, B[475]=26,C[475]=109
A[476]=91, B[476]=18,C[476]=109
A[477]=2, B[477]=2,C[477]=4
A[478]=14, B[478]=25,C[478]=39
A[479]=47, B[479]=7,C[479]=54
A[480]=72, B[480]=10,C[480]=82
A[481]=83, B[481]=14,C[481]=97
A[482]=10, B[482]=18,C[482]=28
A[483]=96, B[483]=25,C[483]=121
A[484]=65, B[484]=42,C[484]=107
A[485]=78, B[485]=93,C[485]=171
A[486]=16, B[486]=32,C[486]=48
A[487]=70, B[487]=15,C[487]=85
A[488]=11, B[488]=47,C[488]=58
A[489]=5, B[489]=58,C[489]=63
A[490]=71, B[490]=89,C[490]=160
A[491]=84, B[491]=27,C[491]=111
A[492]=73, B[492]=86,C[492]=159
A[493]=96, B[493]=88,C[493]=184
A[494]=77, B[494]=43,C[494]=120
A[495]=95, B[495]=48,C[495]=143
A[496]=19, B[496]=43,C[496]=62
A[497]=62, B[497]=96,C[497]=158
A[498]=61, B[498]=24,C[498]=85
A[499]=20, B[499]=92,C[499]=112
A[500]=66, B[500]=98,C[500]=164
A[501]=85, B[501]=82,C[501]=167
A[502]=96, B[502]=20,C[502]=116
A[503]=64, B[503]=73,C[503]=137
A[504]=67, B[504]=69,C[504]=136
A[505]=30, B[505]=3,C[505]=33
A[506]=23, B[506]=13,C[506]=36
A[507]=97, B[507]=97,C[507]=194
A[508]=66, B[508]=58,C[508]=124
A[509]=50, B[509]=42,C[509]=92
A[510]=0, B[510]=44,C[510]=44
A[511]=57, B[511]=86,C[511]=143
A[512]=54, B[512]=85,C[512]=139
A[513]=82, B[513]=14,C[513]=96
A[514]=8, B[514]=1,C[514]=9
A[515]=73, B[515]=41,C[515]=114
A[516]=66, B[516]=23,C[516]=89
A[517]=22, B[517]=61,C[517]=83
A[518]=43, B[518]=86,C[518]=129
A[519]=0, B[519]=9,C[519]=9
A[520]=21, B[520]=30,C[520]=51
A[521]=79, B[521]=44,C[521]=123
A[522]=44, B[522]=75,C[522]=119
A[523]=40, B[523]=76,C[523]=116
A[524]=99, B[524]=56,C[524]=155
A[525]=17, B[525]=100,C[525]=117
A[526]=67, B[526]=40,C[526]=107
A[527]=51, B[527]=20,C[527]=71
A[528]=25, B[528]=32,C[528]=57
A[529]=0, B[529]=100,C[529]=100
A[530]=0, B[530]=73,C[530]=73
A[531]=40, B[531]=66,C[531]=106
A[532]=96, B[532]=29,C[532]=125
A[533]=93, B[533]=38,C[533]=131
A[534]=81, B[534]=93,C[534]=174
A[535]=13, B[535]=1,C[535]=14
A[536]=90, B[536]=92,C[536]=182
A[537]=46, B[537]=100,C[537]=146
A[538]=32, B[538]=52,C[538]=84
A[539]=75, B[539]=31,C[539]=106
A[540]=8, B[540]=58,C[540]=66
A[541]=97, B[541]=75,C[541]=172
A[542]=99, B[542]=13,C[542]=112
A[543]=61, B[543]=90,C[543]=151
A[544]=46, B[544]=61,C[544]=107
A[545]=89, B[545]=12,C[545]=101
A[546]=34, B[546]=96,C[546]=130
A[547]=78, B[547]=96,C[547]=174
A[548]=24, B[548]=36,C[548]=60
A[549]=34, B[549]=4,C[549]=38
A[550]=96, B[550]=13,C[550]=109
A[551]=73, B[551]=85,C[551]=158
A[552]=72, B[552]=18,C[552]=90
A[553]=50, B[553]=70,C[553]=120
A[554]=36, B[554]=24,C[554]=60
A[555]=67, B[555]=10,C[555]=77
A[556]=82, B[556]=29,C[556]=111
A[557]=51, B[557]=80,C[557]=131
A[558]=43, B[558]=11,C[558]=54
A[559]=35, B[559]=89,C[559]=124
A[560]=39, B[560]=24,C[560]=63
A[561]=0, B[561]=73,C[561]=73
A[562]=86, B[562]=44,C[562]=130
A[563]=34, B[563]=9,C[563]=43
A[564]=46, B[564]=34,C[564]=80
A[565]=80, B[565]=41,C[565]=121
A[566]=48, B[566]=52,C[566]=100
A[567]=92, B[567]=19,C[567]=111
A[568]=36, B[568]=41,C[568]=77
A[569]=55, B[569]=39,C[569]=94
A[570]=31, B[570]=22,C[570]=53
A[571]=49, B[571]=13,C[571]=62
A[572]=51, B[572]=67,C[572]=118
A[573]=59, B[573]=94,C[573]=153
A[574]=44, B[574]=95,C[574]=139
A[575]=48, B[575]=83,C[575]=131
A[576]=85, B[576]=48,C[576]=133
A[577]=21, B[577]=70,C[577]=91
A[578]=58, B[578]=56,C[578]=114
A[579]=45, B[579]=4,C[579]=49
A[580]=90, B[580]=91,C[580]=181
A[581]=11, B[581]=3,C[581]=14
A[582]=43, B[582]=70,C[582]=113
A[583]=89, B[583]=45,C[583]=134
A[584]=77, B[584]=44,C[584]=121
A[585]=84, B[585]=8,C[585]=92
A[586]=66, B[586]=100,C[586]=166
A[587]=88, B[587]=83,C[587]=171
A[588]=66, B[588]=46,C[588]=112
A[589]=77, B[589]=76,C[589]=153
A[590]=6, B[590]=24,C[590]=30
A[591]=59, B[591]=91,C[591]=150
A[592]=39, B[592]=46,C[592]=85
A[593]=26, B[593]=97,C[593]=123
A[594]=68, B[594]=37,C[594]=105
A[595]=0, B[595]=58,C[595]=58
A[596]=28, B[596]=79,C[596]=107
A[597]=27, B[597]=37,C[597]=64
A[598]=48, B[598]=16,C[598]=64
A[599]=82, B[599]=24,C[599]=106
A[600]=60, B[600]=66,C[600]=126
A[601]=32, B[601]=92,C[601]=124
A[602]=65, B[602]=19,C[602]=84
A[603]=74, B[603]=97,C[603]=171
A[604]=32, B[604]=16,C[604]=48
A[605]=72, B[605]=38,C[605]=110
A[606]=41, B[606]=97,C[606]=138
A[607]=96, B[607]=46,C[607]=142
A[608]=43, B[608]=88,C[608]=131
A[609]=42, B[609]=77,C[609]=119
A[610]=25, B[610]=9,C[610]=34
A[611]=34, B[611]=19,C[611]=53
A[612]=88, B[612]=28,C[612]=116
A[613]=56, B[613]=1,C[613]=57
A[614]=44, B[614]=3,C[614]=47
A[615]=25, B[615]=70,C[615]=95
A[616]=69, B[616]=24,C[616]=93
A[617]=27, B[617]=100,C[617]=127
A[618]=9, B[618]=0,C[618]=9
A[619]=96, B[619]=7,C[619]=103
A[620]=84, B[620]=34,C[620]=118
A[621]=12, B[621]=91,C[621]=103
A[622]=30, B[622]=7,C[622]=37
A[623]=36, B[623]=39,C[623]=75
A[624]=95, B[624]=78,C[624]=173
A[625]=16, B[625]=86,C[625]=102
A[626]=53, B[626]=16,C[626]=69
A[627]=71, B[627]=6,C[627]=77
A[628]=44, B[628]=26,C[628]=70
A[629]=7, B[629]=54,C[629]=61
A[630]=30, B[630]=100,C[630]=130
A[631]=23, B[631]=65,C[631]=88
A[632]=23, B[632]=50,C[632]=73
A[633]=65, B[633]=99,C[633]=164
A[634]=17, B[634]=26,C[634]=43
A[635]=73, B[635]=67,C[635]=140
A[636]=60, B[636]=85,C[636]=145
A[637]=57, B[637]=57,C[637]=114
A[638]=92, B[638]=93,C[638]=185
A[639]=96, B[639]=52,C[639]=148
A[640]=36, B[640]=78,C[640]=114
A[641]=4, B[641]=90,C[641]=94
A[642]=61, B[642]=75,C[642]=136
A[643]=96, B[643]=4,C[643]=100
A[644]=68, B[644]=3,C[644]=71
A[645]=25, B[645]=64,C[645]=89
A[646]=69, B[646]=14,C[646]=83
A[647]=28, B[647]=58,C[647]=86
A[648]=31, B[648]=59,C[648]=90
A[649]=56, B[649]=48,C[649]=104
A[650]=86, B[650]=28,C[650]=114
A[651]=81, B[651]=45,C[651]=126
A[652]=12, B[652]=37,C[652]=49
A[653]=1, B[653]=70,C[653]=71
A[654]=29, B[654]=64,C[654]=93
A[655]=89, B[655]=31,C[655]=120
A[656]=41, B[656]=93,C[656]=134
A[657]=20, B[657]=1,C[657]=21
A[658]=67, B[658]=83,C[658]=150
A[659]=73, B[659]=0,C[659]=73
A[660]=52, B[660]=98,C[660]=150
A[661]=64, B[661]=20,C[661]=84
A[662]=78, B[662]=93,C[662]=171
A[663]=78, B[663]=8,C[663]=86
A[664]=17, B[664]=100,C[664]=117
